k, Pre-Sorter, Partial Sorter, Simple Quick Sorter, Skewed Quick Sorter, Heap Sorter
8, 100.112, 1.07757, 4.85798, 0.977982, 12.6731
16, 100.113, 1.07833, 4.85836, 0.978362, 12.675
32, 100.113, 1.07833, 4.85836, 0.978742, 12.6776
64, 100.113, 1.07871, 4.85874, 0.979122, 12.6826
128, 100.113, 2.34746, 4.8633, 0.982543, 12.6925
256, 100.113, 2.34822, 4.8652, 0.988244, 12.7126
512, 100.113, 3.81234, 4.88458, 1.01865, 12.7529
1024, 100.113, 5.61893, 4.91081, 1.11329, 12.832
2048, 100.114, 7.73529, 5.04384, 1.18209, 12.9912
4096, 100.114, 10.957, 5.14305, 1.36264, 13.3132
8192, 100.116, 17.5923, 5.37681, 1.69636, 13.9479
16384, 100.119, 28.9175, 5.84546, 3.49002, 15.2083
32768, 100.128, 47.1316, 7.26093, 4.60788, 17.715
65536, 100.142, 71.585, 11.4572, 9.61257, 24.2485
131072, 100.171, 115.55, 18.7428, 17.3494, 34.7828
262144, 100.23, 170.876, 30.4098, 31.349, 56.4344
524288, 100.329, 233.281, 60.184, 53.2618, 96.5959
1000000, 100.503, 249.507, 104.635, 89.1293, 160.038
